ID	QUALITY
ERR346600.900	34
ERR346600.938	32
ERR346600.920	27
ERR346600.943	32
ERR346600.933	24
ERR346600.936	38
ERR346600.942	38
ERR346600.940	24
ERR346600.922	37
ERR346600.926	37
ERR346600.955	35
ERR346600.930	33
ERR346600.935	31
ERR346600.949	33
ERR346600.950	32
ERR346600.953	38
ERR346600.958	31
ERR346600.946	31
ERR346600.944	35
ERR346600.951	30
ERR346600.948	36
ERR346600.945	26
ERR346600.962	35
ERR346600.952	28
ERR346600.960	35
ERR346600.957	28
ERR346600.954	37
ERR346600.975	38
ERR346600.956	37
ERR346600.963	38
ERR346600.965	29
ERR346600.971	28
ERR346600.966	31
ERR346600.959	37
ERR346600.961	26
ERR346600.976	38
ERR346600.969	33
ERR346600.968	30
ERR346600.981	27
ERR346600.978	35
ERR346600.964	34
ERR346600.980	28
ERR346600.986	33
ERR346600.973	33
ERR346600.972	30
ERR346600.982	37
ERR346600.983	32
ERR346600.987	36
ERR346600.977	31
ERR346600.984	24
ERR346600.974	29
ERR346600.999	37
ERR346600.1004	33
ERR346600.996	37
ERR346600.989	28
ERR346600.970	34
ERR346600.988	35
ERR346600.1007	32
ERR346600.991	35
ERR346600.985	32
ERR346600.1001	24
ERR346600.990	36
ERR346600.994	29
ERR346600.1000	31
ERR346600.998	31
ERR346600.1006	33
ERR346600.1009	35
ERR346600.1003	32
ERR346600.997	35
ERR346600.1013	38
ERR346600.1008	33
ERR346600.1018	27
ERR346600.1020	34
ERR346600.1016	35
ERR346600.1002	28
ERR346600.995	35
ERR346600.1010	36
ERR346600.1025	36
ERR346600.1005	37
ERR346600.1015	37
ERR346600.1022	33
ERR346600.1017	33
ERR346600.1021	29
ERR346600.1026	28
ERR346600.1031	26
ERR346600.1032	36
ERR346600.1035	32
ERR346600.1028	38
ERR346600.1027	35
ERR346600.1038	33
ERR346600.1019	37
ERR346600.1014	26
ERR346600.1040	38
ERR346600.1030	30
ERR346600.1044	27
ERR346600.1023	37
ERR346600.1045	37
ERR346600.1046	38
ERR346600.1041	25
ERR346600.1037	26
ERR346600.1052	30
ERR346600.1036	36
ERR346600.1051	30
ERR346600.1049	33
ERR346600.1029	37
ERR346600.1047	37
ERR346600.1042	35
ERR346600.1033	35
ERR346600.1043	38
ERR346600.1055	37
ERR346600.1039	23
ERR346600.1054	31
ERR346600.1057	32
ERR346600.1059	31
ERR346600.1061	29
ERR346600.1056	31
ERR346600.1058	25
ERR346600.1064	31
ERR346600.1053	30
ERR346600.1048	31
ERR346600.1063	23
ERR346600.1066	37
ERR346600.1060	31
ERR346600.1067	38
ERR346600.1069	30
ERR346600.1065	37
ERR346600.1050	37
ERR346600.1071	32
ERR346600.1073	24
ERR346600.1068	34
ERR346600.1076	32
ERR346600.1078	38
ERR346600.1075	37
ERR346600.1070	31
ERR346600.1083	36
ERR346600.1081	29
ERR346600.1072	35
ERR346600.1080	22
ERR346600.1089	31
ERR346600.1077	32
ERR346600.1074	36
ERR346600.1062	27
ERR346600.1088	35
ERR346600.1086	30
ERR346600.1084	28
ERR346600.1090	36
ERR346600.1095	37
ERR346600.1093	35
ERR346600.1091	33
ERR346600.1098	32
ERR346600.1087	37
